"Year","LIGHT DUTY PASSENGER (LDA)","LIGHT DUTY TRUCKS - 1 (LDT1)","LIGHT DUTY TRUCKS - 2 (LDT2)","MEDIUM DUTY TRUCKS (MDV)","LIGHT HEAVY DUTY GAS TRUCKS - 1 (LHDGT1)","LIGHT HEAVY DUTY GAS TRUCKS - 2 (LHDGT2)","MEDIUM HEAVY DUTY GAS TRUCKS (MHDGT)","HEAVY HEAVY DUTY GAS TRUCKS (HHDGT)","LIGHT HEAVY DUTY DIESEL TRUCKS - 1 (LHDDT1)","LIGHT HEAVY DUTY DIESEL TRUCKS - 2 (LHDDT2)","MEDIUM HEAVY DUTY DIESEL TRUCKS (MHDDT)","HEAVY HEAVY DUTY DIESEL TRUCKS (HHDDT)","MOTORCYCLES (MCY)","HEAVY DUTY DIESEL URBAN BUSES (UBD)","HEAVY DUTY GAS URBAN BUSES (UBG)","SCHOOL BUSES - GAS (SBG)","SCHOOL BUSES - DIESEL (SBD)","OTHER BUSES - GAS (OBG)","OTHER BUSES - MOTOR COACH - DIESEL (OBC)","ALL OTHER BUSES - DIESEL (OBD)","MOTOR HOMES (MH)"
"X2018","58.5459161","14.97580418","41.32845044","37.66477765","9.17530228","1.18675244","2.66807667","0.13867923","47.05032004","11.81411194","72.97622908","221.47581497","7.23450824","3.34685046","0.06440795","0.17570613","7.64518695","0.74688157","2.05324976","2.68792461","2.42362223"
"X2019","51.27214982","13.13017818","36.06584008","33.2888395","8.32586168","1.09306619","2.2913716","0.1138572","42.46542999","10.69391392","67.49662622","211.69760589","7.18111859","2.83121415","0.06296483","0.16996063","7.47574741","0.66370413","1.9050129","2.47783451","2.25412451"
"X2020","45.40219825","11.60834015","31.6595685","29.31039882","7.55705672","1.00537696","1.98414054","0.09581974","38.22054514","9.66718097","60.94011541","196.87193111","7.13644226","2.09632291","0.05954033","0.16443863","7.27745446","0.5904135","1.69551525","2.13880072","2.10354348"
"X2021","40.64444109","10.31270003","27.98388667","25.6148323","6.89387756","0.92387648","1.71908849","0.08642199","34.29134922","8.71929038","53.87376389","183.29026978","7.09583496","1.63011883","0.06180663","0.16206276","7.05998521","0.52851167","1.42322297","1.836622","1.97061071"
"X2022","36.80913452","9.19259761","24.884872","21.94973502","6.27210385","0.84762018","1.49705472","0.07568976","30.6556845","7.85759192","41.17886498","165.51940727","7.06630336","0.92456033","0.06176594","0.1582429","6.83371958","0.47244975","1.06501028","1.41803281","1.85111842"
