"Year","LIGHT DUTY PASSENGER (LDA)","LIGHT DUTY TRUCKS - 1 (LDT1)","LIGHT DUTY TRUCKS - 2 (LDT2)","MEDIUM DUTY TRUCKS (MDV)","LIGHT HEAVY DUTY GAS TRUCKS - 1 (LHDGT1)","LIGHT HEAVY DUTY GAS TRUCKS - 2 (LHDGT2)","MEDIUM HEAVY DUTY GAS TRUCKS (MHDGT)","HEAVY HEAVY DUTY GAS TRUCKS (HHDGT)","LIGHT HEAVY DUTY DIESEL TRUCKS - 1 (LHDDT1)","LIGHT HEAVY DUTY DIESEL TRUCKS - 2 (LHDDT2)","MEDIUM HEAVY DUTY DIESEL TRUCKS (MHDDT)","HEAVY HEAVY DUTY DIESEL TRUCKS (HHDDT)","MOTORCYCLES (MCY)","HEAVY DUTY DIESEL URBAN BUSES (UBD)","HEAVY DUTY GAS URBAN BUSES (UBG)","SCHOOL BUSES - GAS (SBG)","SCHOOL BUSES - DIESEL (SBD)","OTHER BUSES - GAS (OBG)","OTHER BUSES - MOTOR COACH - DIESEL (OBC)","ALL OTHER BUSES - DIESEL (OBD)","MOTOR HOMES (MH)"
"X2018","706.97091044","143.16939641","349.39439749","313.7405901","42.73408577","4.36628033","15.6924104","1.27311097","11.55774594","3.23274297","13.46522077","48.0080324","144.42519696","36.67302415","0.1333424","1.17422827","0.38121411","3.44414813","0.44649864","0.56444161","3.96120424"
"X2019","645.02313523","127.94525723","317.0275309","286.84753956","37.30460272","3.8900598","13.2775023","0.9925182","10.94495942","3.11380844","11.90247831","47.32870155","140.60819325","39.14668029","0.13358542","1.10050763","0.3818908","3.08140976","0.41373334","0.47813708","3.2708857"
"X2020","597.24824186","115.66717433","290.49723352","262.25531027","32.55220862","3.47300321","11.49164099","0.78703773","10.36024441","3.00166974","10.19767269","45.86983863","137.24554808","42.36700579","0.13272287","1.05362531","0.38158602","2.76929924","0.37456308","0.37406828","2.65417051"
"X2021","559.25502646","105.3272869","268.88333892","236.23507969","28.97650279","3.12164821","10.12320377","0.68476852","9.80243169","2.89413161","8.77446961","45.54941187","134.20424392","44.23624753","0.13603972","1.05261851","0.38095977","2.51021902","0.32068427","0.30198175","2.12790934"
"X2022","528.51252031","96.40694461","251.17790541","205.64538674","26.29010208","2.82570635","8.96903569","0.62529593","9.27253102","2.79448944","5.35395572","42.66825566","131.75670733","47.37490955","0.13795473","1.04953979","0.38056699","2.28737959","0.22270683","0.16400884","1.75836004"
